ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
CLL_PAL_SAB_0002,I Colli - Palombara Sabina,Funerary,FBA,Grave good,218,Closed shape,Class 4,Latium
CLL_PAL_SAB_0003,I Colli - Palombara Sabina,Funerary,FBA,Grave good,218,Closed shape,Class 3,Latium
CLNN_BRBR_BSS_0001,Colonna - Barbieri Bassa,Funerary,EIA1,Grave good,156,Closed shape,Class 3,Latium
CLNN_BRBR_BSS_0002,Colonna - Barbieri Bassa,Funerary,EIA1,Grave good,156,Closed shape,Class 3,Latium
CLNN_BRBR_BSS_0003,Colonna - Barbieri Bassa,Funerary,EIA2,Grave good,156,Open shape,Class 1,Latium
CLNN_BRBR_BSS_0004,Colonna - Barbieri Bassa,Funerary,EIA2,Grave good,156,Open shape,Class 2,Latium
CLNN_BRBR_BSS_0005,Colonna - Barbieri Bassa,Funerary,EIA2,Grave good,156,Open shape,Class 2,Latium
CLNN_BRBR_BSS_0006,Colonna - Barbieri Bassa,Funerary,EIA2,Grave good,156,Open shape,Class 2,Latium
CLNN_L_PSLN_0001,Colonna - La Pasolina,Funerary,EIA2,Grave good,155,Open shape,Class 2,Latium
CLNN_L_PSLN_0002,Colonna - La Pasolina,Funerary,EIA2,Grave good,155,Open shape,Class 1,Latium
CLNN_L_PSLN_0003,Colonna - La Pasolina,Funerary,EIA2,Grave good,155,Open shape,Class 1,Latium
CLNN_L_PSLN_0004,Colonna - La Pasolina,Funerary,EIA2,Grave good,155,Closed shape,Class 3,Latium
CMPFC_0001,Campo del Fico,Funerary,FBA,Urn,56,Closed shape,Class 3,Latium
CMPFC_0002,Campo del Fico,Funerary,FBA,Urn,56,Closed shape,Class 3,Latium
CMPFC_0003,Campo del Fico,Funerary,FBA,Cover,56,Open shape,Class 1,Latium
CMPFTTR_0001,Marino - Campofattore,Funerary,EIA1,Grave good,162,Closed shape,Class 3,Latium
CMPFTTR_0002,Marino - Campofattore,Funerary,EIA1,Grave good,162,Open shape,Class 2,Latium
CNN_BNDTLL_0001,Canino - Banditella,Cultual,EIA1,,319,Open shape,Class 2,Etruria
CNN_BNDTLL_0002,Canino - Banditella,Cultual,EIA1,,319,Closed shape,Class 3,Etruria
CNN_BNDTLL_0003,Canino - Banditella,Cultual,EIA1,,319,Open shape,Class 2,Etruria
CNN_BNDTLL_0004,Canino - Banditella,Cultual,EIA1,,319,Closed shape,Class 3,Etruria
CNN_BNDTLL_0005,Canino - Banditella,Cultual,EIA1,,319,Closed shape,Class 3,Etruria
CRPL_FSS_RLN_0001,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Closed shape,Class 4,Etruria
CRPL_FSS_RLN_0002,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Closed shape,Class 4,Etruria
