ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
OSTS_0740,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0741,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0742,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0743,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0744,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0745,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0746,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0747,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0748,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0749,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0750,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0751,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0752,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0753,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0754,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0755,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0756,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0757,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0758,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0759,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0760,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0761,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0762,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0763,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0764,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0765,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0766,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0767,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0768,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0769,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0770,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0771,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0772,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0773,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0774,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0775,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0776,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0777,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0778,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0779,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0780,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0781,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0782,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0783,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0784,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0785,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0786,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0787,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0788,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0789,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0790,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0791,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0792,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0793,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0794,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0795,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0796,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0797,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0798,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0799,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0800,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0801,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0802,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0803,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 2,Latium
OSTS_0804,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0805,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0806,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0807,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0808,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0809,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0810,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0811,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0812,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0813,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0814,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0815,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0816,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0817,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0818,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0819,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0820,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0821,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0822,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0823,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0824,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0825,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0826,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0827,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0828,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0829,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0830,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0831,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0832,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0833,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0834,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0835,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 2,Latium
OSTS_0836,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0837,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0838,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0839,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0840,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0841,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0842,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0843,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0844,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0845,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0846,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0847,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0848,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0849,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0850,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0851,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0852,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0853,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 2,Latium
OSTS_0854,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0855,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0856,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0857,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0858,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0859,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0860,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0861,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0862,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0863,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0864,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0865,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0866,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0867,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0868,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0869,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0870,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0871,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0872,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0873,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0874,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0875,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0876,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0877,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0878,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0879,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0880,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0881,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0882,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0883,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0884,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0885,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0886,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0887,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0888,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0889,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0890,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0891,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0892,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0893,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0894,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0895,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0896,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0897,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0898,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0899,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0900,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0901,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0902,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0903,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0904,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0905,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0906,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0907,Osteria dell'Osa,Funerary,EIA1,Urn,64,Closed shape,Class 3,Latium
OSTS_0908,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0909,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0910,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0911,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0912,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0913,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0914,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0915,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0916,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0917,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0918,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0919,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0920,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0921,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0922,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0923,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0924,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0925,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0926,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0927,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0928,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0929,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0930,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0931,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0932,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0933,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0934,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0935,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0936,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0937,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0938,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0939,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0940,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0941,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0942,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0943,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0944,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0945,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0946,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0947,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0948,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0949,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0950,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0951,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0952,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0953,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0954,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0955,Osteria dell'Osa,Funerary,EIA1,Urn,64,Closed shape,Class 3,Latium
OSTS_0956,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0957,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0958,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0959,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0960,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0961,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0962,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0963,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0964,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0965,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0966,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0967,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0968,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0969,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0970,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0971,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0972,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0973,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0974,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0975,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0976,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0977,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0978,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0979,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0980,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0981,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0982,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0983,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0984,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0985,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0986,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0987,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0988,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0989,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0990,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0991,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0992,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0993,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_0994,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_0995,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_0996,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0997,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0998,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 3,Latium
OSTS_0999,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 1,Latium
OSTS_1000,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_1001,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1002,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_1003,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1004,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1005,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_1006,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1007,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1008,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1009,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1010,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_1011,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1012,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
OSTS_1013,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_1014,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Open shape,Class 2,Latium
OSTS_1015,Osteria dell'Osa,Funerary,EIA1,Grave good,64,Closed shape,Class 4,Latium
